Category,Listing Name,Descript
healthcare,"Manager, Quality Management (SGGA00224)","['The Role', 'Support in planning, implementing, analysing and reviewing the effectiveness of Quality Improvement courses.', 'Key accountabilities', 'Strategize Quality-related training plan for SOD, including e-learning.', 'Develop and review teaching materials, curriculum and training guides to achieve effective administration of training.', 'Manage the team and ensure alignment to corporate balanced scorecard.', 'Train and Facilitate Basic Quality Improvement (QI) Tools, FMEA, RCA, QI Coach programmes.', 'Provide project facilitation to course participants by conducting review clinics or remote project consultations.', 'Support Parkway Pantai Limited (PPL) operations when required.', 'Support IHH Quality Summit when assigned', 'Participate in ad hoc projects', 'Qualifications & Experience', 'A general degree with at least 5 years of relevant work experience preferably in a healthcare setting and in a supervisory position.', 'Strong aptitude in developing and facilitating programs and activities aimed at meeting the corporate goals and objectives', 'Demonstrate good knowledge in quality process improvement and structure.', 'Highly motivated, action & result oriented and a self-starter', 'Additional Information', 'Experience in JCI Accreditation survey process and JCI Hospital Standards interpretation is preferred']"
healthcare,Health Attendant,"['Job Responsibilities:', ""Performs regular tidying and cleaning of patient's bed area including bedside locker, overbed tables, commode chairs etc."", 'Carries out daily pantry duties such as receiving food trolley, serving and collection of food trays, ensure pantry and storage areas are kept clean and dry at all times, assist in preparation and serving of beverages to patients etc.', ""Assist in providing personal hygiene care for patients e.g. bathing of patients, changing of patient's diapers etc."", 'Assist in oral feeding of patient with and/ or under the supervision of the nursing staff.', 'Assist the nurses in admitting patients by ensuring the beds are made and pyjamas are available.', 'Transportation of patients, specimens and documents.', 'Any other duties as assigned by the Ward Nurse Manager.', 'Requirements:', 'Able to work 6 days a week on rotating shifts, including Saturday, Sunday and Public Holiday.', 'A team player with good interpersonal and communications skills.']"
healthcare,Senior Research Fellow,"['Overview', 'Alexandra Hospital, a member of the National University Health System (NUHS) cluster, is an integrated general hospital. Joining NUHS in 2018, the historic site provides holistic care, supporting patients along their entire care continuum. The hospital is also positioned as an establishment for testing innovative models of health care approaches in Singapore. To aid in the development and evaluation of these new care approaches, a research team has been established at Alexandra Hospital.', 'We are seeking a post-doctoral candidate for research in human biological and health.', 'Job Responsbilities', 'Leadership role in coordination of activities of research, innovation, and enterprise division at the Alexandra Hospital including mentoring junior researchers.', 'Develop and interpret statistical data of various projects.', 'Draft and submission of progress reports at regular intervals.', 'Apply for research grants as principal and co-investigator.', 'Publish of quality research articles and conference proceedings.', 'Take part in research administration.', 'Requirements', 'Applicants should have MSc and/or PhD degree in human biological, health services or other relevant areas.', 'Background of biostatistics will be useful.', 'A strong publication records.', 'Experience in grant writing.', 'Good English writing skills.', 'This is a 2 years’ renewable contract under the hospital and based in Singapore.\xa0', 'The successful candidate will take a lead on developing and managing various study components on a diverse portfolio of projects. Areas of research include evaluation of inpatient and outpatient programmes at Alexandra Hospital including topics in eldercare, community-based care, chronic disease management, robotics, artificial intelligence, and nutrition. Suitable candidates will also have the opportunity to develop their own research portfolio and apply for grants.', 'Please forward your CV including list of publications and 2 references with a cover letter (no more than 250 words).']"
healthcare,Clinical Research Coordinator (Dementia),"['We are looking for a full-time Clinical Research Coordinator for a study on the diagnosis of cognitive impairment among community-dwelling older persons. This study is a collaboration between Singapore General Hospital, Agency of Integrated Care, and Silver Generation Office. It seeks to explore whether artificial intelligence can be useful to facilitate early diagnosis of dementia in Singapore.', 'Job Responsibilities', 'The selected candidate shall perform a variety of functions related to research under the supervision of the Principal Investigator or his designate:', 'Fieldwork', 'Administer surveys', 'Conduct neuropsychological/cognitive tests', 'Interview the family members of the older persons', 'Some of the interviews may have to be conducted after regular office hours or on weekends ‒ time off from work would be granted in such instances', 'Other job responsibilities include', 'Assist the Principal Investigator in submitting study notifications to the Institutional Review Board for ethics review', 'Coordinate and prepare documents on study-related meetings', 'Assist in developing data collection materials', 'Plan, organize, and co-ordinate routine study activities workflow', 'Screening, scheduling and recruitment of potential participants as per study protocol', 'Handle data entry and validation of study data', 'Prepares study participants payment reimbursement and verifies study account expenses', 'Provides research project logistics, including but not limited to purchase equipment/supplies', 'Maintain Investigator Site File and ensure that all study documents are complete and up to date.', 'Prepare for and follow up on Study Monitoring/Audit Findings', 'Maintains study-related progress, and provide regular study updates to investigators and managers on study-related issues', 'To be an effective back-up for at least one other study. May also be involved in other research projects as assigned by the Principal Investigator', 'Qualifications / Job Requirements', 'Bachelor / Masters Degree in Psychology or a related field', 'Experience with neuropsychological/cognitive tests is a strong advantage', 'Good written and oral communication skills', 'Team-oriented with strong coordination and organisational skills', 'Strong interest in the areas of ageing and mental health, and able to work independently']"
healthcare,"Patient Service Associate (Financial Counsellor, Listing Room)","['Job Description', 'We are looking for service-oriented self-motivated team player with an ability to work independently. You will be the ambassador of NDCS to provide excellent front-line services to our patients. Your duties and responsibilities include, but not limited to, listing patients for Day Surgery in NDCS and admission across SingHealth institutions, appointment scheduling, financial counselling, management of OT resources and other administrative matters.', 'Job Requirements', ""Diploma in any discipline / GCE 'A' Level / 'O' Level / Higher NITEC"", 'Able to multi-task and work in a fast-paced and dynamic environment', 'A team player with good interpersonal communication skills', 'Knowledge in related MOH policies', 'Minimum 2 years of relevant experience\xa0', 'Proficiency in computer application', 'Prior Nursing experience would be an advantage']"
healthcare,Clinical Research Coordinator (Contract),"['The Centre for Research in Child Development (CRCD) at National Institute of Education (NIE) in collaboration with SingHealth Polyclinics will be launching the BE-POSITIVE study (Beginning Early: Singapore’s Ongoing Study starting in Infancy of Twenty-first-century skills, Individual differences and Variance in the Environment). Primary goal of this study is to better examine the interaction between home and school influences to understand child development and academic success, starting in ages 0-4. In this study, we invite children and their parents to come for neuropsychological assessments and behavioral observations.', 'Responsibilities:', 'Assist with data collection. This will primarily involve children ranging from 0-4 and their parents/caregivers', 'Perform data entry', 'Assist with processing and analysis of neuropsychological data, behavioural observations and questionnaires', 'Assist with logistics and administrative tasks', 'Aid in protocol creations and other study documents as required', 'Performing literature reviews where required', 'Communicating testing progress to study PI in complete and timely manner', 'Requirements:', 'Degree in Psychology/Science/Biology/Biomedical/Neuroscience', 'Ability to read and write in English and Mother Tongue is essential for communication with parents', 'Team player- To work with a large enthusiastic team with Principal Investigators, Clinical Research Coordinators and project managers', 'Proactive, willing to learn, possess good communication skills and able to multi-task', 'Enjoy working with young children', 'Basic computer skills to administer computer based experiments']"
healthcare,"ASSISTANT MANAGER/SENIOR EXECUTIVE, COMMUNITY SUPPORT DEVELOPMENT","['JOB DESCRIPTION', 'Support the development and implementation of strategic partnerships and collaborations with government agencies including but not limited to MOH, MSF, Regional Health Systems, Primary Care and Community Care partners for capability building of the mental health ecosystem', 'Support the engagement and partnership with the Regional Health Systems, restructured hospitals, polyclinics, GPs and community partners to build the health and social integration of community mental health services', 'Support the division in analyzing service gaps and formulating plans to develop the capability of primary care and community care sectors in the areas of early identification and management of mental health clients', 'Responsible for programme implementation including providing trends, timely tracking of progress reports and fund management', 'Support the department/division in all related activities to meet the divisional objectives of CMH', 'JOB REQUIREMENTS', 'Degree in any discipline with at least 2 years’ experience in healthcare, eldercare and/or community care sectors, preferred.', 'Possess strong organisations skills and effective project management skills in managing multiple projects concurrently', 'Possess good written and verbal communication and presentation skills', 'Strong ability to handle ambiguity and high work pressure in a fast pace work environment', 'Versatile in working independently as well as an effective team player', 'Competent in MS Office Word, Excel, and Powerpoint']"
healthcare,Healthcare Assistant,"['֎ 1 year contract', '֎ Competitive remuneration packages', '֎ Office hours, 5.5 days', 'As a Healthcare Assistant,\xa0 you will be responsible for the following duties:', 'Provide support to elders in their daily living\xa0 and hygiene care (e.g. feeding, toileting, showering)', 'Taking vital signs', 'Plan/Conduct cognitive, physical & recreational activities', 'Making the elderly feel they are in a cohesive home', 'Serve food and beverages for elders and assist in simple housekeeping tasks', 'Requirements:', 'Possess 2 years of working experience in healthcare / social service sector', 'Certificate in Healthcare Support or any related certificate, will be an advantage', 'Able to travel within Singapore', 'To apply, simply click on the ‘’apply’’ button in the job advertisement or alternatively, you can send in your resume via email', 'Email Address: ', '[email\xa0protected]', 'We regret to inform that only shortlisted candidates will be notified.', 'ALLIED SEARCH PTE. LTD.', 'EA LICENSE\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 : 19C9777']"
healthcare,Patient Service Associate [1 year contract] (Healthcare),"['Patient Service Associate', 'Working hours: 3 rotating shifts', 'AM: 7am-3pm', 'PM: 1.30pm-9.30pm', 'Night shift: 9pm-7.30am (allowances entitlement)', 'Responsibilities:', 'Perform registration services, provide financial counselling and collect payment / deposits from patients.', 'Register patient admissions / visit information in the system', 'Provide estimated hospital charges to every patient’s admission', 'Handle enquiries through phone and over the counters', 'Other ad hoc duties assigned on-site by supervisors', 'Requirements:', 'Minimum NITEC/Diploma attained from recognized institutes', 'Comfortable to work with rotating shifts', 'Customer service oriented with excellent interpersonal skills', 'Excellent oral and written communication skills', 'Able to multi-task and to work effectively as a team', 'Passionate about healthcare', 'Only shortlisted applicants would be contacted.', 'Kwang Jan Wee', 'Outsourcing team', 'RecruitFirst Pte Ltd', 'E.A. 13C6342']"
healthcare,Patient Service Assistant,"['Responsibilities', 'To register patients for DRC or Outpatient Services', 'To carry out means testing for patients as and when required', 'To collect payments for Outpatient Day rehabilitation Services', 'To maintain monthly statistics as required by the department', 'To handle enquiries regarding Outpatient Therapy Services', 'To order supplies from internal store', 'To help in clerical/administrative duties in the department', 'To be responsible for keeping the reception area clean and tidy', '\xa0', 'Requirements', 'Diploma, N or O level', 'Preferably 1 year relevant experience', 'To be organised and meticulous', 'Proficient in MS Office and SAP', 'Customer-oriented with communication skills and interpersonal skills']"
